DESCR,SKU,QTD FATURADA
LEGGERO,"8903,84","1 558 200,00"
RISTRETTO,"8900,84","1 409 100,00"
Brazil Organic Professional,"8907,84","578 800,00"
Isp Rist  roast and ground coffee,"7748,1","437 100,00"
RISTRETTO INTENSO,"8899,84","426 000,00"
Finezzo,"8902,84","424 550,00"
DECAFFEINATO,"8898,84","361 250,00"
Café Caramello,"8895,84","345 150,00"
VOLLUTO NEW,"7812,1","307 600,00"
FORTE,"8901,84","307 200,00"
Café Vanilio,"8896,84","284 950,00"
Ispirazione Arpeggio,"7765,1","253 520,00"
Lungo Guatemala (R4),"8787,84","249 150,00"
Roma New,"7747,1","212 510,00"
Cosi,"7588,1","175 750,00"
Ispirazione Ristretto Italiano,"7885,9","170 570,00"
Ispirazione Napoli New,"7742,1","152 500,00"
INTENSO,"8904,84","152 450,00"
CAF NOCCIO:FLAVOURED ROAST AND GROUND COFFEE,"8625,84","146 300,00"
Ispirazione Livanto,"7745,1","144 780,00"
MO COLOMBIA,"7720,1","126 450,00"
Ispirazione Kazaar,"7741,1","123 940,00"
Capriccio : NEW SKU,"7831,1","111 510,00"
ORIGINS INDONESIA,"8626,84","101 300,00"
BC VANIGLIA,"7768,1","100 370,00"
Inspirazione Firenze Arpeggio,"7888,9","98 530,00"
BC Caramello,"7767,1","90 520,00"
Volluto Decaffeinato NEW,"7587,1","86 100,00"
BIANCO DELICATO(R4),"8784,84","85 250,00"
Isp Venezia,"7749,1","81 080,00"
WE STHLM LU : roast and ground coffee,"7755,1","75 150,00"
Ispirazione Firenze Arpeggio Decaffeinat,"7743,1","74 280,00"
BARISTA CREATIONS COCONUT,"7750,1","70 620,00"
BC Cioccolatino,"7766,1","68 850,00"
VOLTESSO,"7047,8","65 240,00"
WE PARIS - ROASTED GROUND COFFEE,"7847,1","62 360,00"
World Explorations Rio OL,"7607,1","60 620,00"
BC Nocciola,"7796,1","57 860,00"
Altissio,"7048,8","56 840,00"
CAPE TOWN/LE CAP LUNGO,"7756,1","50 050,00"
VIENNA LUNGO,"7754,1","48 380,00"
TOKYO  LUNGO,"7909,1","47 980,00"
ORAFIO NEW,"7046,8","47 560,00"
Bianco Intenso Pro (R4),"8785,84","47 000,00"
India,"7733,1","45 250,00"
RISTRETTO DECAFFEINATO,"7746,1","40 820,00"
DOUBLE ESPRESSO DOLCE VL,"7044,8","39 730,00"
Ristretto India NEW (R4),"8786,84","39 050,00"
BUENOS AIRES LUNGO(WE BNOSRES LU),"7757,1","37 630,00"
PEANUT & ROASTED SESAME FLAVOUR,"7850,1","36 450,00"
World Explorations Istanbul,"7738,1","30 700,00"
Brazil Organic New,"7894,9","29 900,00"
Shangai Lungo,"7759,1","29 360,00"
DOUBLE ESPRESSO SCURO,"7058,8","28 200,00"
DBL ESP CHIARO ROASTED GROUND COFFEE,"7050,8","27 830,00"
Recyclable Paper Cup,5119,"27 772,00"
DIAVOLITTO,"7049,8","27 590,00"
RISTRETTO CLASSICO,"7288,1","25 980,00"
Ispirazione Ristretto Italiano Decaffein,"7857,9","25 900,00"
NEW CHIARO,"7762,1","25 370,00"
IL CAFFÉ,"7060,8","25 180,00"
MO INDONESIA,"7722,1","23 630,00"
MO NICARAGUA,"7723,1","20 870,00"
UNFORGETTABLE DOUBLE ESPRESSO,"7007,8","20 400,00"
ALTISSIO DECAFFEINATO NEW,"7000,8","19 380,00"
MO ETHIOPIA,"7719,1","18 130,00"
FORTADO ROASTED GROUND COFFEE,"7059,8","17 040,00"
BC SCURO,"7761,1","16 280,00"
VANILLA ICE,"7019,1","13 680,00"
Ice Intense,"8905,84","13 250,00"
ARONDIO ROASTED GROUND COFFEE,"7013,8","12 810,00"
Nicaragua,"7856,9","12 680,00"
BIANCO DOPPIO,"7016,8","12 120,00"
Costa Rica,"7043,8","12 030,00"
INIZIO,"7014,8","11 660,00"
Recyclable Paper Cup 240ml,5120,"11 267,00"
RISTRETTO INTENSO,"7011,8","11 160,00"
ALMOND CROISSANT FLAVOUR,"7851,1","11 100,00"
Corto,"7760,1","10 940,00"
BC BIA PICCOLO: ROASTED GROUND COFFE,"7002,8","10 330,00"
Bamboo Coffee Stirrer_wrapped,3562,"10 296,00"
BC COCONUT SUMMER VL 2022,"7226,1","9 650,00"
BC CHOCOLATE FLAVOURED ROASTED GROUND COFFEE,"7296,8","9 280,00"
UNFORGETTABLE ESPRESSO,"7849,1","9 070,00"
BC CARAMEL,"7295,8","8 930,00"
Ispirazione Roma,"7861,9","8 660,00"
COLOMBIA,"7028,8","8 620,00"
ALMOUD CROISSANT,"7008,8","8 330,00"
Freddo Delicato,"7870,9","7 900,00"
BARISTA CREATIONS FREDDO DELICATO,"7763,1","7 850,00"
SWEET VANILLA,"7292,8","7 470,00"
MELOZIO Roasted Ground Coffee,"7039,8","6 990,00"
INTENSO,"7042,8","6 920,00"
BC HAZELNUT,"7294,8","6 210,00"
STORMIO ROASTED GROUND COFFEE,"7040,8","6 090,00"
PEANUT AND ROASTED SESAME FLAVOUR ROASTED GROUD COFFEE,"7009,8","5 880,00"
FORTADO DESCAFFEINATO,"7015,8","5 570,00"
Freddo Intenso,"7883,9","5 550,00"
BC ICE LEGGERO VL 2022,"7223,1","5 440,00"
RISTRETTO INTENSO,"7287,1","4 840,00"
"1 BARISTA Recipe, Small",133238,"4 496,00"
Solelio,"7024,8","4 380,00"
MO Ethiopia VL,"7017,8","4 320,00"
ABYSSINIA CAPSULE SET,135142,"3 360,00"
ODACIO NOVO,"7041,8","3 180,00"
CARAFE POUROVER STYLE INTENSE,"7006,8","3 150,00"
1 ICE LOLLY MOULD,137545,"2 991,00"
FREDDO INTENSO,"7764,1","2 860,00"
MEXICO,"7026,8","2 750,00"
NOMAD TUMBLER MANDARIN ORANGE,137267,"2 692,00"
EL SALVADOR,"7027,8","2 650,00"
Sacola de Reciclagem - papel (MuLTIPLO = 300,89094L/4,"2 378,00"
NOMAD TRAVEL MUG M MANDARIN ORANGE,136877,"2 224,00"
Identificador de Café Ristretto Kit c/50,122846,"2 115,00"
MELOZIO DECAFFEINATO,"7023,8","2 110,00"
COLD BREW INFUSION À FROID,"7278,1","1 799,00"
ALTO AMBRATO,"7001,8","1 708,00"
Bianco Forte,"7030,8","1 680,00"
DIAVOLITTO,"7218,1","1 350,00"
ALTO ONICE,"7243,1","1 211,00"
"NOMAD TRAVEL MUG , L AQUARELLE",136876,"1 086,00"
FESTIVE TRAVEL POUCH,139505,"1 061,00"
IL CAFE sleeve update 2024,"7299,1","1 050,00"
DARK CHOCOLATE WITH CARAMELISED HAZELNUT,139509,"1 038,00"
Altissio,"7216,1","1 030,00"
Pastinha de limpeza para Aguila,94892,"898,00"
Bulk of Sugar Sachets 4g (x300),3519/BULK,"885,00"
MELOZIO DECAFFEINATO,"7234,1","820,00"
NEPAL LAMJUNG EXCLUSIVE SELECTION,"8624,81","800,00"
MILK CHOCOLATE PIECES,142267,"780,00"
Lume Espresso Cup (12),3533,"744,00"
ORAFIO:ROAST AND GROUND COFFEE,"7213,1","720,00"
NOMAD TRAVEL MUG S TERRACOTTA,132077,"661,00"
1 BARISTA ICE TRAY MANDARIN ORANGE,137277,"614,00"
LUME SMALL SAUCER,3545,"584,00"
1 BARISTA FESTIVE GLASS,139305,"556,00"
CANTUCCINI NEW 120G,128003,"506,00"
LID FOR CUP,137102,"496,00"
Barista Creations Piccolo 2022,"7230,1","480,00"
DARK CHOCOLATE PIECES,142268,"468,00"
GALAPAGOS EXCLUSIVE SELECTION,"8623,81","450,00"
Brazil Organic,"7737,1","420,00"
Recycling container,3405-BR,"362,00"
Brown Sugar,3517,"359,00"
Recyclable Paper Cup 360ml,5116,"313,00"
WINSET VTUO N23 R1,131709,"311,00"
DISPLAY MIA CAPSULE DISPENSER,3795,"309,00"
WE CADIZ ROASTED AND GROUND COFFE,"7793,1","300,00"
VOLLUTO,"7586,1","280,00"
ESSENZA Mini C30 Preta 110V,C30-BR-BK-NE2,"275,00"
2 COASTERS LIMITED EDITION,137275,"251,00"
ESSENZA Mini C30 Preta 220V,C30-BR3-BK-NE2,"244,00"
Serving Mini Display,135065,"243,00"
DESSERT BOWLS X 2,137546,"242,00"
PIXIE LUNGO SHANGAI,125411,"241,00"
Lume Cappucino Cup (12),3532,"232,00"
DOUBLE ESPRESSO SCURO,"7225,1","230,00"
ARONDIO NEW,"7232,1","230,00"
NOMAD FESTIVE TRAVEL MUG,139376,"208,00"
Display Cube Capsule Dispenser,3585,"208,00"
LUME LARGE,3541,"189,00"
PIXIE ESPRESSO PARIS,122520,"185,00"
NEW Showcase B2B Capsule Presentation Bo,5003/1,"170,00"
PIXIE LUNGO BUENOS AIRES,125413,"162,00"
BC PUMPKIN:FLAVOURED ROASTED GROUND COFFEE,"7272,8","160,00"
Reservatorio de agua Zenius,93960,"156,00"
Identificador de Cafe Ristretto (KIT c/,85156/50,"155,00"
PIXIE LUNGO STOCKHOLM,125408,"146,00"
PIXIE LUNGO TOKYO,125409,"144,00"
OL PUMPKIN,"7784,1","140,00"
TOUCH TRAVEL MUG NEW,137069,"132,00"
Coffee Mug Limited edition Mandarin Orange,137359,"132,00"
MO EL SALVADOR,"7276,1","130,00"
World Exploration Lisbon Bica LE,"7794,1","130,00"
DESCALING KIT B2C,142420,"125,00"
ESSENZA Mini D30 Vermelha 110V,D30-BR-RE-NE2,"124,00"
TOCCANTO:ROAST AND GROUND COFFEE,"7241,1","120,00"
CAIXA SUSTENTABILIDADE MONTADA,CXP05,"113,00"
Bamboo Recipe Stirrer_wrapped,3561,"111,00"
DOUBLE ESPRESSO CHIARO,"7224,1","100,00"
Identificador de Xícara Brazil Organic,145570,"94,00"
Aero3 Refresh BRB standalone Black,3594-BRB-BK,"93,00"
IMÃ NESPRESSO B2B,126835,"91,00"
2 Nude Lungo Cups,3434,"90,00"
Altissimo Decaffeinato,"7244,1","90,00"
BC GINGER,"7283,8","90,00"
New Hotel Capsule Box,5405/1,"88,00"
"2 VERTUO CUPS, SAUCERS & SPOONS",134502,"87,00"
1X PIXIE LUNGO VIENNA,125410,"84,00"
PIXIE LUNGO CAPE TOWN,125412,"84,00"
Recycling Container Blue,3405-BR/2,"83,00"
PIXIE EXPRESSO ISTANBUL,122661,"80,00"
INTENSO,"7202,1","80,00"
Peppermint VL,"7273,8","80,00"
PORTA INSUMOS G ( ESPAÇO P/GUARDANAPOS),145541,"78,00"
PIXIE ESPRESSO RIO,122660,"74,00"
ESSENZA Mini C30 Branca 110V,C30-BR-WH-NE2,"73,00"
VERTUO POP BLACK 110V,GDV2-BR-BK-NE,"70,00"
FORTADO NEW,"7233,1","70,00"
Aero3 Refresh BRA standalone Black,3594-BRA-BK,"69,00"
AEROCCINO 4 110V NEW,4194-BRA-SI-NE,"67,00"
RECYCLING BIN NEW,128557,"66,00"
DISPLAY DRAWER CAPSULE DISPENSER,140961,"61,00"
STORMIO,"7197,1","60,00"
White Sugar Bulk,3516/BULK,"59,00"
2 VERTUO GRAN LUNGO CUPS & SPOONS,134504,"59,00"
"2 Vertuo Lungo Cups, Saucers & Spoons",134508,"57,00"
Pro Dispenser,3800,"56,00"
Inissia - Water tank,93449,"56,00"
LID FOR CUP 600ML,137101,"54,00"
TESTEIRA BLACK ZENIUS HORECA,145525,"53,00"
Gift Box 150 capsulas BTQ,103706,"50,00"
DISPLAY VERTICAL ORIGINAL,134784,"49,00"
View Bonbonniere,3594,"49,00"
LEMON FLAVOURED SHORTBREAD,137363,"48,00"
PORTA INSUMOS M - PLASTICO,145539,"48,00"
Essenza Mini - Water tank,96044,"47,00"
VERTUO POP BLACK 220V,GDV2-BR3-BK-NE,"46,00"
Identificador de Xícara Finezzo,145567,"46,00"
Identificador de Xícara Decaffeinato,145569,"46,00"
WINSET OL N23 R1,136054,"43,00"
Identificador de Xícara Intenso,145568,"42,00"
LUME ESPRESSO CUPS & SALCERS,3790,"42,00"
PIXIE D62 SILVER NESPRESSO 110V,D62-BR-SI-NE,"41,00"
Adesivo Bombona B2B,126833,"41,00"
Identificador de Cafe Espresso Caramel (,10560/50,"40,00"
Craft Tray,3531,"39,00"
NESPRS CIRCULAR ESPRESSO CUP 8PC XL,3436,"39,00"
PIXIE C62 BR TITAN NESPRESSO 110V,C62-BR-TI-NE,"38,00"
2 LUME Lungo Cups & 2 Saucers,3793,"37,00"
2 VERTUO MUGS MEDIUM & SPOONS,134505,"36,00"
"6 VIEW SPOON,SMALL",3783,"35,00"
TESTEIRA BLCK DOUBLE MILK HORECA,145531,"34,00"
Origin Collection Espresso 2022,3524,"34,00"
ESSENZA Mini C30 Branca 220V,C30-BR3-WH-NE2,"33,00"
AEROCCINO 4 220V NEW,4194-BRB-SI-NE,"32,00"
GRAN LATISSIMA BLACK 110V,F541-BR-BK-NE,"32,00"
Origin Collection Lungo,3527,"32,00"
BOLSA 100% ALGODÃO COMPOSTO,123091,"31,00"
MILK CHOCOLATE PIECES XE 200G NEW SKU,127704,"31,00"
KIT CAIXA COLETORA SUSTENTABILIDADE,CX007,"31,00"
DISPLAY VERTICAL VERTUO,133246,"31,00"
Porta Insumos Madeira,117923,"30,00"
2 Vertuo Mugs Small & Spoons,134506,"30,00"
VIEW Set of 12 Espresso Cups (in bulk),3735/BULK,"30,00"
Porta Insumos de Acrilico,117922,"30,00"
PORTA INSUMOS ACRILICO P,126839,"30,00"
TOKYO  LUNGO,"7758,1","30,00"
Vivida:Roasted and ground coffee with vitamin B12,"7063,6","30,00"
Creatista Plus BR Metalic Nespresso,J520-BR-ME-NE,"29,00"
CITIZ PLATINUM TITAN C140 127V,C140-BR-TI-NE,"29,00"
Identificador de Cafe Espresso Leggero (,85158/50,"29,00"
TESTEIRA BLACK SINGLE OFFICES,145527,"29,00"
Identificador de Cafe Lungo Leggero (KIT,85160/50,"28,00"
ESSENZA Mini D30 Vermelha 220V,D30-BR3-RE-NE2,"28,00"
ALTO AMBRATO,"7242,1","28,00"
EXPERT C80 Preta 110V,C80-BR-BK-NE,"27,00"
Reveal Espresso Mild,125010,"26,00"
PIXIE D62 SILVER NESPRESSO 220V,D62-BR3-SI-NE,"25,00"
2 VERTUO MUG SET LARGE & SPOONS,134509,"25,00"
12 VIEW SPOONS SMALL - BULK,143773,"25,00"
CHOCOLATE CHIP COOKIES,137375,"25,00"
VERTUO POP GCV2 BR PANTONE,GCV2-BR-PA-NE,"25,00"
CITIZ PLATINUM METAL D140 110V,D140-BR-ME-NE,"24,00"
